protein	median_cluster1	median_cluster2	diff	p_value	fdr
BETACATENIN	1.498170792	2.252894758	-0.754723966	8.004906404448463e-28	5.229872184239663e-26
RBM15	1.1070400235	1.675733826	-0.5686938025000001	5.482439157024872e-22	1.1021580340494797e-20
ATM	1.257803747	2.157688841	-0.899885094	8.161376615221227e-21	1.2304844742948927e-19
VHL	-0.8829284305	0.951232732	-1.8341611625	6.680763398715784e-20	6.796679569959102e-19
GSK3ALPHABETA_pS21S9	0.9894392255	1.573759934	-0.5843207085	2.464655909978422e-19	2.1003154711120466e-18
AKT	0.7878041105	1.065857419	-0.2780533085000001	6.680417770402813e-19	5.45567451249563e-18
PKCPANBETAII_pS660	0.9259610334999999	1.52131653	-0.5953554965000001	1.6246348993644239e-18	1.2737137611017083e-17
STAT5ALPHA	0.5889434495	1.199383998	-0.6104405485000001	1.7891002867297284e-18	1.3487063699962568e-17
TSC1	1.3844615235	1.830009093	-0.44554756949999996	9.019698451582853e-18	6.313788916107997e-17
PTEN	0.0186565985	0.470730521	-0.4520739225	1.0024806457777998e-17	6.775386433532716e-17
PAXILLIN	0.31345801500000003	0.805223185	-0.49176517	1.1876391666809431e-17	7.759242555648828e-17
P38_pT180Y182	0.5726425454999999	1.280250487	-0.7076079415000001	2.8286659450780594e-16	1.7884468555977407e-15
JNK2	0.17119614	0.438917417	-0.267721277	3.785684033138967e-15	2.061094640264549e-14
NF2	0.8573690915000001	1.289203877	-0.4318347855	6.266806252030825e-15	3.1494718599949787e-14
GSK3_pS9	0.4682777215	0.961219005	-0.4929412835	1.5278890543195675e-14	7.486656366165882e-14
EGFR_pY1068	-1.1695400569999999	-0.267842418	-0.9016976389999998	7.791569655830157e-14	3.5515061687039787e-13
BRAF	0.9885685	1.340849835	-0.35228133500000003	6.565469355790159e-13	2.7974608559453725e-12
ERK2	1.1431793780000001	1.574216002	-0.43103662399999987	1.1969324827322677e-12	4.991463119479245e-12
P70S6K	0.35951043650000003	0.517512806	-0.15800236950000002	6.636833347745009e-12	2.6547333390980035e-11
MTOR	0.7241851454999999	0.939067567	-0.21488242150000014	1.6000420936037704e-11	6.03092789127575e-11
